index,nmod,symbol,smod,cplx_index,z_time_phase,z_time_norm,z_time,z_carrier,zeta_symbol,psi_v,psi_v_z,z_log_scat,z_carrier_information,z_time_norm_phase,is_symbol_prime,is_n_prime,is_symbol_fibo,is_n_fibo
30,30,30,30,(0.0030906841091108287-0.0254540736948219j),(9.584859159877173-123.62900337253114j),(15.5+26.846787517317598j),(-0.2061964273895674+0.14136135727906285j),(9.639682980462275-1.7996378115659177j),(0.12053668025532233-0.9927088740980541j),(0.01514435213464306-0.12472496110462732j),(9.651736648487807-1.8989086989757231j),(0.06026834012766116-0.49635443704902704j),8.58849800490154,(9.262935366965383-29.58374601681506j),0,0,0,0
31,31,31,31,(0.007133781126062873-0.02462866952900955j),(29.415739341217442-124.57413166066843j),(16+27.712812921102035j),(-0.18198533789437005+0.17140985033384734j),(8.87178522235054-2.330623313364533j),(0.2782174639164521-0.9605181116313725j),(0.034955527517708085-0.1206804806921468j),(8.899606968742185-2.4266751245276703j),(0.14034385388829737-0.4845231913850582j),8.58849800490154,(14.356406829816969-28.598838838959594j),1,1,0,0
32,32,32,32,(0.01099211695905266-0.023165395759240575j),(49.743981534264144-122.26829638593476j),(16.5+28.578838324886473j),(-0.15343837117525094+0.1973744316042124j),(7.786997337143985-2.854589479700573j),(0.4286925614030538-0.9034504346103824j),(0.05386137309935804-0.11351043922027883j),(7.82986659328429-2.9449345231616113j),(0.21809574764584658-0.45962705149917904j),8.58849800490154,(19.362800602732555-26.722311891354362j),0,0,0,0
33,33,33,33,(0.014565762736696297-0.021102150407529656j),(70.02744121291623-116.58540850883338j),(17+29.444863728670914j),(-0.12123567072201849+0.2186364840198962j),(6.3951816305864755-3.3514433154626135j),(0.5680647467311556-0.8229838658936566j),(0.07137223740981186-0.10340053699689533j),(6.451988105259591-3.433741702051979j),(0.29137648579332603-0.42213171665480465j),8.58849800490154,(24.12429036900817-23.958685568949278j),0,0,0,0
34,34,34,34,(0.017762162910502546-0.018492370444713194j),(89.69787057119912-107.49089270720759j),(17.5+30.31088913245535j),(-0.0861444794184101+0.2346894302386264j),(4.716410248157953-3.8007633412739734j),(0.6927243535095993-0.7212024473438147j),(0.08703459826146248-0.09061261517909466j),(4.785682683508912-3.872883586008355j),(0.358133295431724-0.37285625636241704j),8.58849800490154,(28.48263195079474-20.340591858536598j),0,0,0,0
35,35,35,35,(0.020498532394961553-0.015403647800973835j),(108.17648208982435-95.04656081452873j),(18+31.17691453623979j),(-0.0490008596576602+0.245150802064383j),(2.780798785572216-4.182490654752945j),(0.7994427634035006-0.6007422642379796j),(0.10044280873531161-0.0754778742247718j),(2.860743061912566-4.242564881176743j),(0.4164659794440075-0.3129538810310099j),8.58849800490154,(32.28418160514992-15.928955335667746j),0,0,0,0
36,36,36,36,(0.022704000657774604-0.011915978770353055j),(124.89036231602499-79.41282894200408j),(18.5+32.042939940024226j),(-0.010689773804309344+0.24977135291304464j),(0.628024211003174-4.477629697273138j),(0.8854560256532096-0.4647231720437692j),(0.11124960322309556-0.05838829597472997j),(0.7165698135684949-4.524102014477515j),(0.4646809038969888-0.24388335207032732j),8.58849800490154,(35.38494907232972-10.812279091321596j),0,0,0,0
37,37,37,37,(0.024321447229413984-0.008119692148755719j),(139.289282275374-60.848137549239596j),(19+32.90896534380867j),(0.027876000406374543+0.24844099621709742j),(-1.6934670246872534-4.6689367205476975j),(0.9485364419471454-0.31666799380147304j),(0.11917509142412852-0.039786491528903026j),(-1.5986133804925389-4.700603519927845j),(0.5013396614939144-0.16737177170809622j),8.58849800490154,(37.655526224054356-5.105031321113785j),1,1,0,0
38,38,38,38,(0.025308981093279816-0.004113109765583605j),(150.86242870002232-39.70551103726889j),(19.5+33.77499074759311j),(0.06577761718187962+0.24119142828441087j),(-4.127545478162946-4.741573929866947j),(0.9870502626379128-0.16041128085776063j),(0.1240140073570711-0.02015423785135967j),(-4.028840451899155-4.757615057952723j),(0.5253010523798658-0.08536973023337836j),8.58849800490154,(38.98573207137496+1.054843523449846j),0,0,0,0
39,0,0,0,(0.05128205128205128-1.2560479991254905e-17j),(159.1545711541031-16.426274098331838j),(20+34.64101615137754j),(0.10211205455995294+0.2281953731203707j),(-6.611755532756953-4.683707921939165j),(1+0j),(0.1512820512820513-1.2560479991254905e-17j),(-6.511755532756953-4.683707921939165j),(0.5357552004618084+0j),8.58849800490154,(39.28881975993935+7.509237103128178j),0,0,0,0
40,1,1,1,(0.050617962186559645+0.008226219531167141j),(163.78118464266674+8.468976150911452j),(20.5+35.50704155516198j),(0.13601362928668786+0.20976246720579794j),(-9.078909754886414-4.487032323952026j),(0.9870502626379128+0.16041128085776024j),(0.14932298845035094+0.024267347616943165j),(-8.980204728622622-4.47099119586625j),(0.5322488328380769+0.08649885445795577j),8.58849800490154,(38.50510094411423+14.083934155042432j),0,0,0,0
41,2,2,2,(0.04864289445882799+0.01623938429751137j),(164.44206551097108+34.3919625855446j),(21+36.373066958946424j),(0.16667462208418318+0.1863318822775499j),(-11.458880268287594-4.147196446902979j),(0.9485364419471455+0.3166679938014725j),(0.14349653865354253+0.047906183677658615j),(-11.36402662409288-4.115529647522831j),(0.5147009863488329+0.17183243737071527j),8.58849800490154,(36.6048573793625+20.59330998738495j),1,1,0,0
42,3,3,3,(0.04540800131554924+0.023831957540706047j),(160.93301010094132+60.700628166851175j),(21.5+37.23909236273086j),(0.19336452190208864+0.15846186187716166j),(-13.680539924572772-3.6641242426249288j),(0.8854560256532099+0.4647231720437685j),(0.13395360388087024+0.0703042747450829j),(-13.591994322007452-3.6176519254205517j),(0.48340866233640517+0.253712437936917j),8.58849800490154,(33.59042834723604+26.84554196601735j),1,0,0,0
43,4,4,4,(0.040997064789923154+0.030807295601947615j),(153.15517007779906+86.71501529977637j),(22+38.1051177665153j),(0.2154474306506564+0.12681642096365356j),(-15.673800579835254-3.042210835608043j),(0.7994427634035012+0.6007422642379788j),(0.12094134113027327+0.09088152202574551j),(-15.593856303494903-2.9821366091842454j),(0.43904222155358696+0.3299188263951444j),8.58849800490154,(29.49738513481895+32.64818938636811j),0,1,0,0
44,5,5,5,(0.035524325821005114+0.03698474088942637j),(141.1217545540205+111.73473225275477j),(22.5+38.97114317029974j),(0.23239721374020605+0.0921495254778287j),(-17.371691727080403-2.2903873078799344j),(0.6927243535095995+0.7212024473438144j),(0.10479676117196507+0.10910498562380781j),(-17.302419291729443-2.2182670631455528j),(0.3826305885079814+0.3983606400763505j),8.58849800490154,(24.39472961171806+37.813981107140286j),1,0,0,0
45,6,6,6,(0.029131525473392615+0.04220430081505929j),(124.96181576010054+135.0575603286935j),(23+39.837168574084174j),(0.24381003545903293+0.05528712878659093j),(-18.712420221480777-1.4220481549947055j),(0.5680647467311559+0.8229838658936564j),(0.08593800014650821+0.12450268740442494j),(-18.65561374680766-1.3397497684053399j),(0.31553661092239593+0.45713370066034675j),8.58849800490154,(18.384082256691837+42.16663988959976j),0,0,0,0
46,7,7,7,(0.021984233918105386+0.04633079151848112j),(104.92093037356682+155.9987127175899j),(23.5+40.703193977868615j),(0.24941398052910485+0.017107492996558803j),(-19.64135096666701-0.4548398001794733j),(0.42869256140305423+0.9034504346103822j),(0.06485349005841082+0.13667583497951935j),(-19.598481710526702-0.36449475671843506j),(0.239423187977416+0.5045736798559216j),8.58849800490154,(11.597854969679041+45.54656694090442j),1,0,0,0
47,8,8,8,(0.014267562252125816+0.04925733905801908j),(81.35867078375551+173.91022594517116j),(24+41.569219381653056j),(0.249075532601937-0.02147973601005013j),(-20.112849257606413+0.5896873592773159j),(0.27821746391645275+0.9605181116313722j),(0.04208930864377109+0.1453091502211563j),(-20.08502751121477+0.6857391704404531j),(0.1562110333456475+0.5393030496827617j),8.58849800490154,(4.196434786414178+47.81620996151169j),0,1,0,0
48,9,9,9,(0.006181368218221728+0.05090814738964378j),(54.742847386946956+188.19994861840274j),(24.5+42.43524478543749j),(0.24280275534175552-0.059555201271187165j),(-20.09192800453027+1.6865568101172523j),(0.12053668025532323+0.992708874098054j),(0.01823503624375405+0.1501790347994492j),(-20.079874336504737+1.7858276975270577j),(0.06802916889539028+0.56027061237226j),8.58849800490154,(-3.6355647234001687+48.86494315091305j),0,0,0,0
49,10,10,10,(-0.002064920005611008+0.05124046144469588j),(25.640592159833588+198.34959045506767j),(25+43.30127018922193j),(0.23074510030530604-0.09621173881130231j),(-19.555647250874685+2.8079631484404346j),(-0.0402659401094149+0.9991889981715697j),(-0.006091514016552498+0.15115936126185286j),(-19.559673844885626+2.9078820482575916j),(-0.022840553909495156+0.5667824994647522j),8.58849800490154,(-11.693897974347589+48.61329807949205j),0,0,0,0
50,11,11,11,(-0.010257727885950935+0.05024567446370604j),(-5.293557166339998+203.93130768110788j),(25.5+44.167295593006365j),(0.21318984619564954-0.13057599120464405j),(-18.494219157472596+3.923974391916225j),(-0.20002569377604434+0.9797906520422677j),(-0.03026029726355537+0.14822473966793281j),(-18.5142217268502+4.021953457120452j),(-0.11402344094496905+0.5585237548365101j),8.58849800490154,(-19.76001373689193+47.016399874063495j),1,0,0,0
51,12,12,12,(-0.018184866002181305+0.047949550906944347j),(-37.33232646468029+204.62232869541518j),(26+45.033320996790806j),(0.19055525432622464-0.16182921568328706j),(-16.911778821452437+5.0033216968645675j),(-0.35460488704253545+0.9350162426854148j),(-0.053645354706434854+0.14145117517548583j),(-16.94723931015669+5.096823321133109j),(-0.20311485857790115+0.5355698661826616j),8.58849800490154,(-27.60697446015152+44.066483421717884j),0,0,0,0
52,13,13,13,(-0.025641025641025602+0.04441155916843278j),(-69.69280064608407+200.21716594264635j),(26.5+45.89934640057525j),(0.16338060336912055-0.18922679102796758j),(-14.82678975574769+6.014255840434548j),(-0.4999999999999998+0.8660254037844387j),(-0.07564102564102558+0.13101409954687665j),(-14.87678975574769+6.100858380812992j),(-0.2877443751081733+0.4983878772795137j),8.58849800490154,(-35.005808426929136+39.794388754912816j),1,0,0,0
53,14,14,14,(-0.03243309618437832+0.03972333137577715j),(-101.55554339306856+190.63701530956303j),(27+46.76537180435968j),(0.13231334081387758-0.21211595848184234j),(-12.272062360487146+6.925447405563708j),(-0.6324453755953772+0.7746049618276546j),(-0.09567763374391605+0.11718382755854262j),(-12.335306898046683+7.0029079017464735j),(-0.3656394215472086+0.4478269920206709j),8.58849800490154,(-41.73211773146271+34.26996279028226j),0,1,0,0
54,15,15,15,(-0.03838516657287695+0.03400629016619465j),(-132.08527454486517+175.93601180090332j),(27.5+47.63139720814412j),(0.09809365725871415-0.22995137400243973j),(-9.294374025263165+7.706905796615136j),(-0.7485107481711009+0.6631226582407955j),(-0.11323624138998704+0.1003185559902742j),(-9.369225100080275+7.7732180624392155j),(-0.4346867577604462+0.3850988633262606j),8.58849800490154,(-47.57275309299774+27.601325387608973j),0,0,0,0
55,16,16,16,(-0.04334308130993816+0.02740850390398986j),(-160.45258499255903+156.304088139772j),(28+48.49742261192856j),(0.06153685105817526-0.2423081013128615j),(-5.953690339878456+8.33089107798872j),(-0.8451900855437946+0.5344658261278012j),(-0.12786208986431763+0.08085508651676998j),(-6.038209348432836+8.384337660601501j),(-0.49299008100394426+0.3117480380133161j),8.58849800490154,(-52.3323599053583+19.932990411276492j),0,0,0,0
56,17,17,17,(-0.047178433008144824+0.02010085178769617j),(-185.85612849858825+132.0662693480673j),(28.5+49.363448015713j),(0.023513903496897217-0.24889173618732022j),(-2.3219979703186002+8.77279221001111j),(-0.9199794436588242+0.39196660986007514j),(-0.13917637737402727+0.059297512773703695j),(-2.4139959146844827+8.811988870997117j),(-0.5389222096861429+0.22961329512849038j),8.58849800490154,(-55.83959897407955+11.442866180025334j),1,0,0,0
57,18,18,18,(-0.04979188807313086+0.012272598168592757j),(-207.5447037963741+103.67832910534071j),(29+50.22947341949744j),(-0.015069272705860405-0.24954542075565403j),(1.5182292251154357+9.011945580018539j),(-0.9709418174260519+0.2393156642875581j),(-0.14688606981573607+0.03620416459734857j),(1.4211350433728305+9.035877146447294j),(-0.5711704133616119+0.14078086291246156j),8.58849800490154,(-57.95285024580475+2.3381934024630495j),0,0,0,0
58,19,19,19,(-0.05111575939149795+0.00412649070342184j),(-224.83862962418294+71.71883036357669j),(29.5+51.09549882328188j),(-0.05329341714780436-0.24425358070806272j),(5.475898611936898+9.032368795410877j),(-0.9967573081342099+0.08046656871672608j),(-0.15079149020491894+0.012173147575094448j),(5.376222881123478+9.040415452282549j),(-0.5887736369522028+0.0475307218013716j),8.58849800490154,(-58.56521845796707-7.149488581051566j),1,0,0,0
59,20,20,20,(-0.05111575939149795-0.004126490703421803j),(-237.1498205747777+36.877670769054056j),(30+51.96152422706631j),(-0.09024782350936379-0.23314229635958963j),(9.453459512605857+8.823386502534085j),(-0.99675730813421-0.08046656871672539j),(-0.15079149020491897-0.012173147575094342j),(9.353783781792435+8.815339845662413j),(-0.5911505783840235-0.0477226083513853j),8.58849800490154,(-57.60867582805833-16.77022567939024j),0,1,0,0
60,21,21,21,(-0.04979188807313089-0.012272598168592634j),(-243.99999295125298-0.05864971006497633j),(30.5+52.827549630850754j),(-0.12505203751482313-0.2164762987335826j),(13.34930500470737+8.380127483010726j),(-0.9709418174260521-0.23931566428755743j),(-0.1468860698157361-0.036204164597348376j),(13.252210822964765+8.35619591658197j),(-0.5781178186918527-0.14249324453187587j),8.58849800490154,(-55.05719829148012-26.26223365010355j),0,0,0,0
61,22,22,22,(-0.04717843300814484-0.020100851787696137j),(-245.03646693178447-38.22472856134487j),(31+53.693575034635195j),(-0.1568768341257878-0.1946526622337081j),(17.060355711179422+7.703875400331811j),(-0.9199794436588242-0.3919666098600749j),(-0.13917637737402727-0.059297512773703626j),(16.96835776681354+7.664678739345804j),(-0.5498974658614514-0.23428941477989507j),8.58849800490154,(-50.928777856441464-35.35900996986806j),0,1,0,0
62,23,23,23,(-0.043343081309938226-0.02740850390398975j),(-240.04508355490788-76.6965309588204j),(31.5+54.55960043841963j),(-0.18496397417651989-0.16819134417926404j),(20.484760140049577+6.802259248490219j),(-0.845190085543795-0.5344658261278007j),(-0.12786208986431774-0.08085508651676981j),(20.400241131495196+6.7488126658774386j),(-0.5071140513262771-0.32067949567668047j),8.58849800490154,(-45.28622369892391-43.796780053915086j),1,0,0,0
